# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# Burkert individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: core radius (rc) [kpc].
# 3rd column: normalized scale radius (rcn = rc / rmax).
# 4th column: logarithm of the density rho_c (log rhoc) [Msun / kpc^3].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rc                	rcn                	log rhos          	YD                 	YB                 	Chi2               	Chi2eff            	N.Data
CamB       	999.9999919506986 	558.6592133802785  	6.5065349257630665	0.3004241289324807 	--                 	16.850610983806618 	21.745112077350193 	9     
D512-2     	1.5043357792356515	0.3927769658578724 	7.645106345991406 	0.5004624055987632 	--                 	0.12161606090075483	0.12163217749588073	4     
D564-8     	2.1530387070123727	0.701315539743444  	7.120249664998295 	0.496848837093316  	--                 	0.27196403814955017	0.2727179396457756 	6     
D631-7     	6.999549846623706 	0.9735118006430745 	7.016647927528124 	0.38834534900591705	--                 	11.271236800053408 	12.47578467014495  	16    
DDO064     	1.907931138737565 	0.6402453485696528 	7.757219409295384 	0.49781518394568447	--                 	4.088541585843785  	4.088903295032911  	14    
DDO154     	2.6183297443321547	0.44228542978583696	7.441371481047362 	0.43222030160146546	--                 	11.422613436603786 	11.82285746351262  	12    
DDO161     	7.388436668393296 	0.5526130642029391 	6.801860695944521 	0.5122924892548856 	--                 	7.661203900476683  	7.672329897913076  	31    
DDO168     	3.7708562262472705	0.9152563655939977 	7.435588359002495 	0.4410617028677668 	--                 	34.12691497011864  	34.423620189836875 	10    
DDO170     	4.154927015504983 	0.3369770491082711 	7.161356569575413 	0.4962113789009516 	--                 	10.110697766460316 	10.111788935795168 	8     
ESO079-G014	7.8397660772341204	0.4702919062527966 	7.544085730031442 	0.434910949198966  	--                 	12.383983407790282 	12.750851813616151 	15    
ESO116-G012	3.7509153021695414	0.3804173734451868 	7.795407509095042 	0.5416389019029696 	--                 	9.8663209179343    	9.98700659829483   	15    
ESO444-G084	1.5496153530747028	0.3490124669087168 	8.119636132596064 	0.5350553790299332 	--                 	8.020533662305477  	8.10713867806098   	7     
ESO563-G021	7.982204180821305 	0.18821514220281316	8.089942478567574 	0.22954546037301696	--                 	221.2782651662558  	232.70951380288741 	30    
F565-V2    	5.33662079204042  	0.6064341809136841 	7.324462964298182 	0.49909629382333354	--                 	0.28683833378571005	0.28690005985985084	7     
F568-3     	6.6848097616718745	0.371791421672518  	7.315968679376031 	0.46852574793008767	--                 	16.571241228246116 	16.650971457035222 	18    
F568-V1    	2.9928110937782755	0.16975672681669177	8.057407478304267 	0.49928024411590866	--                 	0.6969730532318028 	0.6970121935731795 	15    
F571-8     	6.901526053951622 	0.44382804205476667	7.600999245351471 	0.21028869038753106	--                 	8.935118267026636  	23.084308056754143 	13    
F571-V1    	5.438753109120785 	0.40020258345259635	7.246612516451935 	0.49911313366568066	--                 	0.15680557074195392	0.1568650158122159 	7     
F574-1     	3.533578539737557 	0.2804427412490125 	7.735365085943924 	0.4871236981176174 	--                 	1.1046386464819429 	1.1174772274839742 	14    
F583-1     	4.580901094128528 	0.2817282345712501 	7.413788218902211 	0.4882065654022336 	--                 	4.458948238712594  	4.469694440435724  	25    
F583-4     	2.4958472725671492	0.3423658810105829 	7.650162769572088 	0.5021163724279376 	--                 	4.460501788841372  	4.460838283193981  	12    
IC2574     	15.608215323253967	1.5257297481186674 	6.51891479952169  	0.7328299479055365 	--                 	70.28843182024166  	73.04513432355793  	34    
IC4202     	4.264747839047306 	0.16466207872769523	8.376366064171636 	0.2394091703961693 	0.09194738320536328	156.9183752150282  	233.506699315717   	32    
KK98-251   	3.410145016069914 	1.0895032000223366 	7.087457206121499 	0.4966376511647005 	--                 	3.9254567542855088 	3.926315457060015  	15    
NGC0024    	1.5226261488561699	0.1351043610342653 	8.605776438014988 	0.4500750964870065 	--                 	20.709422366206475 	20.918134481261948 	29    
NGC0055    	6.404191522736857 	0.4743845572397672 	7.1226688988184215	0.38966901866688947	--                 	6.2560607947632665 	7.428389442373085  	21    
NGC0100    	4.68910975587038  	0.48743344655617254	7.447041967774625 	0.4897335221070099 	--                 	1.6081922973075715 	1.616310617215536  	21    
NGC0247    	3.1333870479396917	0.2155011724855359 	7.615946901822934 	0.8768406720975409 	--                 	92.40492844912771  	98.35612197118576  	26    
NGC0289    	15.311356613063392	0.2152890412410488 	6.881961585029831 	0.7593580606993722 	--                 	50.372361673492286 	53.66573741973472  	28    
NGC0300    	3.916901339563081 	0.33194079148839667	7.630080474991451 	0.5579038191394166 	--                 	12.990577973066964 	13.217052406568389 	25    
NGC0801    	38.712612854102225	0.6471516692427655 	6.248445915388046 	0.6594082187142919 	--                 	56.771583870384056 	58.21601170379338  	13    
NGC0891    	4.510533310278228 	0.263619714218482  	8.147274422346866 	0.22232121557413956	0.581459405402827  	24.450639383939713 	36.85885448849244  	18    
NGC1003    	13.436483028100431	0.44432814246363866	6.726288838646392 	0.9649302002561789 	--                 	92.84127115931658  	100.99377481770826 	36    
NGC1090    	4.85899930347618  	0.1614821968586301 	7.886241432786502 	0.2970437266554911 	--                 	27.92680688020921  	33.041171920467946 	24    
