# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# Arctan_1 individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: scale radius (rt) [kpc].
# 3rd column: normalized scale radius (rtn = rt / rmax).
# 4th column: Vc value [km/s].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rt                 	rtn                  	Vc                	YD                 	YB                 	Chi2               	Chi2eff            	N.Data
CamB       	83.7375353366665   	46.780745998137704   	1000.             	0.30042995318679194	--                 	16.843946940356982 	21.738075503630398 	9     
D512-2     	0.9780365673100221 	0.2553620280182825   	41.10045621568758 	0.5015891577702227 	--                 	0.23018223595491877	0.23037216183388698	4     
D564-8     	1.4736008940663368 	0.48000029122681986  	33.12954628685614 	0.49746963330759486	--                 	0.23536652762242308	0.23585203746163433	6     
D631-7     	4.819391263363845  	0.6702908572133303   	95.95632547665898 	0.3944384957887628 	--                 	10.3007446378315   	11.36145328085928  	16    
DDO064     	1.3339426472623033 	0.44763176082627626  	61.84303740745838 	0.4991832048436063 	--                 	4.270757016432797  	4.270807432023959  	14    
DDO154     	1.7079526661818263 	0.2885055179361193   	57.116843924477706	0.41714411694840947	--                 	21.05574466047376  	21.67485997810089  	12    
DDO161     	4.886234335166515  	0.3654625531164185   	77.41586791039457 	0.5133467229934592 	--                 	9.334168758604244  	9.347257925416127  	31    
DDO168     	2.6619565552165176 	0.6461059600040091   	85.09783520455723 	0.4466084157481325 	--                 	32.69950682801941  	32.94002941158547  	10    
DDO170     	2.353487091597065  	0.1908748654985454   	62.24770615281004 	0.49441843706305527	--                 	7.636465573631524  	7.63884247440693   	8     
ESO079-G014	5.24296227388004   	0.31451483346610914  	189.45628083918177	0.4765098579364971 	--                 	15.554474973763869 	15.59814809346135  	15    
ESO116-G012	2.4039520332439643 	0.24380852264137573  	120.61667539803909	0.5531837110597957 	--                 	12.46981945918212  	12.66253500805665  	15    
ESO444-G084	0.8744101315622823 	0.19693921882033383  	70.1479052980297  	0.5135079378854315 	--                 	6.148920136883819  	6.162323193398315  	7     
ESO563-G021	5.379056782347945  	0.12683463292496924  	312.4775151229466 	0.4882058594181595 	--                 	300.5330493370366  	300.5437968408663  	30    
F565-V2    	3.6184553256097396 	0.4111881051829249   	103.22290255193825	0.4992443548561714 	--                 	0.28619560192869675	0.28623874600387333	7     
F568-3     	4.499764742744803  	0.2502650023773528   	126.78407604473253	0.4764799537144724 	--                 	16.017723938143572 	16.061511050996998 	18    
F568-V1    	1.6020898058419242 	0.09087293283278072  	123.1682897826919 	0.5044866388148403 	--                 	1.7301097192327282 	1.731614898681344  	15    
F571-8     	4.6143756968730045 	0.2967444178053379   	181.6695883003256 	0.21256855263724928	--                 	10.793856899509084 	24.592926456212005 	13    
F571-V1    	3.414225892030129  	0.2512307499654252   	92.68459264697888 	0.5000593468470956 	--                 	0.3099379011781017 	0.3099381668663656 	7     
F574-1     	2.1033949675137626 	0.1669361085328383   	102.7022418277317 	0.488219306225017  	--                 	2.9914400063526725 	3.0021627229701195 	14    
F583-1     	2.9428140787540262 	0.1809848756921295   	94.85932079113586 	0.4974107005547877 	--                 	7.289980096774527  	7.290488545397407  	25    
F583-4     	1.4074451876226186 	0.19306518348732765  	65.84337458566644 	0.49319455846180155	--                 	3.065084614525798  	3.0686269212216484 	12    
IC2574     	11.490821386535368 	1.123247447364161    	125.63461965789963	0.8138736962776597 	--                 	73.59264776013836  	78.0695539697482   	34    
IC4202     	2.358198412000943  	0.09105013173748815  	246.33589036117547	0.2807733884200194 	0.10736931635451609	277.8041195109756  	339.9262643644996  	32    
KK98-251   	2.3200076905374276 	0.7412165145486989   	50.394547045559655	0.4972321692156867 	--                 	3.685267954913813  	3.6858491438730403 	15    
NGC0024    	0.68071966352113   	0.0604010349175803   	104.69455678913688	0.5240416238956496 	--                 	8.497418793950754  	8.539017575777976  	29    
NGC0055    	4.3156045813215815 	0.31967441343122827  	97.6413036677003  	0.39490880606487344	--                 	8.142881993445414  	9.192957381748556  	21    
NGC0100    	3.1185771659567365 	0.32417642057762336  	103.33788580062304	0.4909181577875185 	--                 	1.4798408787303372 	1.4861784851675548 	21    
NGC0247    	1.8078162527463408 	0.12433399262354478  	88.45586915837242 	0.47643908239679605	--                 	54.259134637800514 	54.30307780164082  	26    
NGC0289    	3.2956354763654776 	0.046339081501201876 	155.00282762913864	0.5325958086666218 	--                 	50.363382785987426 	50.43861087837026  	28    
NGC0300    	2.273357191500018  	0.192657389110171    	101.64857797272938	0.500198584070861  	--                 	9.802347100014002  	9.802350074041454  	25    
NGC0801    	25.283484889017416 	0.4226593929959448   	214.27015937334687	0.6576011396542939 	--                 	56.65334977337855  	58.069272536749324 	13    
NGC0891    	2.786383341734247  	0.16285115965717398  	205.11793245200622	0.2603887791035052 	0.5625195641964438 	50.27539186651903  	58.382462271258234 	18    
NGC1003    	7.484437078401594  	0.2475012261376189   	122.99249385361853	0.8709077792962686 	--                 	83.30218172068346  	89.11038609943255  	36    
NGC1090    	2.9489146009219462 	0.09800314393226807  	144.64086602805676	0.4562115480159058 	--                 	29.604371198518322 	29.76280489089924  	24    
