# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# MOND_dist individual fits for 153 SPARC galaxies with Gaussian priors on YD, YB and on the distance.
# 1st column: galaxy name.
# 2nd column: stellar disk mass-to-light ratio (YD).
# 3rd column: stellar bulge mass-to-light ratio (YB).
# 4th column: multiplicative factor that changes the galaxy distance.
# 4th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 5th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 6th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	YD                 	YB                 	deltaD             	Chi2              	Chi2eff           	N.Data
UGC06923   	0.4323987114147097 	--                 	0.9165765839015952 	4.422782542585624 	5.181540738740596 	6     
UGC06930   	0.5901725862798773 	--                 	0.829183421728653  	10.01267678085829 	12.043810043523578	10    
UGC06983   	0.7934944840825302 	--                 	0.9602845809274252 	17.104328715849082	21.209085949164376	17    
UGC07089   	0.36682952024919396	--                 	0.7363220492068315 	3.6848659590583885	9.098276045645166 	12    
UGC07125   	0.9248546394240031 	--                 	0.37828550876275724	15.610132798730406	27.09775660813927 	13    
UGC07151   	0.5153172594605084 	--                 	0.923363055326161  	29.569423250782656	31.984501697161146	11    
UGC07232   	0.4856902898380657 	--                 	1.0080409717955496 	6.392855934875521 	6.426676722445381 	4     
UGC07261   	0.5536119414472803 	--                 	0.9308657381116912 	3.89255593634189  	4.141339464078342 	7     
UGC07323   	0.4137515124897927 	--                 	0.8459446295112265 	4.478425260187243 	5.41830992776035  	10    
UGC07399   	0.6401969207948213 	--                 	1.890974750989695  	12.860227721741989	22.8259208722261  	10    
UGC07524   	0.6081267913401653 	--                 	0.8092750157721755 	60.68107772332576 	75.59290918380646 	31    
UGC07559   	0.28057317314373226	--                 	0.8412788947943466 	20.04921584951032 	36.30188922332319 	7     
UGC07577   	0.2814772161373873 	--                 	0.7631938447239018 	61.000846186324154	89.48585523816848 	9     
UGC07603   	0.3622716802612884 	--                 	1.3833758713099924 	13.802813552588237	17.394089727061854	12    
UGC07690   	0.6002559787518547 	--                 	0.8096894631376674 	6.327552776774701 	7.360874341854065 	7     
UGC07866   	0.33900312624580964	--                 	0.913663633634891  	10.561129079417665	16.352159328526568	7     
UGC08286   	1.0750154595083627 	--                 	0.9875742534770512 	37.500453801832826	48.70032413254407 	17    
UGC08490   	0.874772318773387  	--                 	1.049870566447384  	8.784313479286862 	14.87701482104448 	30    
UGC08550   	0.7392813617416852 	--                 	0.9500578301110949 	12.37753863993339 	15.290084192870903	11    
UGC08699   	0.5966972092729188 	0.6949085352248124 	1.0559759059430616 	34.45861325379904 	35.50511831580414 	41    
UGC08837   	0.1736318033932828 	--                 	0.7690530973963022 	19.839870402555253	62.33315350476009 	8     
UGC09037   	0.21257581653552285	--                 	0.9162908546333068 	36.385955940632584	50.87798740597844 	22    
UGC09133   	1.6271687368598515 	1.0972246237572931 	0.5132230150386269 	465.43427198201164	504.51262475303946	68    
UGC09992   	0.49860003499000993	--                 	0.4991751289463682 	2.6803417294873846	5.467440580584316 	5     
UGC10310   	0.6171792791440684 	--                 	0.7980497562512451 	7.345916726481243 	8.627376228783726 	7     
UGC11455   	0.4241392181223709 	--                 	1.0223843041036587 	161.91742224035605	162.45032935502948	36    
UGC11557   	0.4240062077477489 	--                 	0.48002653716577404	11.480036417418681	16.31861919381967 	12    
UGC11820   	1.0257933007163091 	--                 	0.6669670665201125 	14.05463932180432 	25.026990744740758	10    
UGC11914   	0.24257942308597508	0.5069117661304958 	1.9435000210335458 	114.5722377029831 	134.75022980776714	65    
UGC12506   	1.144812737315573  	--                 	0.8490496547261661 	63.411089530728255	78.61472345863345 	31    
UGC12632   	1.1094861805043146 	--                 	0.6717272927181946 	21.631380691336815	34.811677771592834	15    
UGC12732   	1.0659779456128886 	--                 	0.7814373597622112 	6.531634046357889 	17.861356769687625	16    
UGCA442    	0.45697007534038386	--                 	1.008406484050038  	35.11921750813813 	35.29958847526253 	8     
UGCA444    	0.48386539339698403	--                 	0.8007562017589085 	15.19573596803999 	30.46644792221582 	36    
