# Additional velocity distribution: a fast sample analysis for dark matter or modified gravity models
# by A. Hernandez-Arboleda, D. C. Rodrigues, A. Wojnar
# 
# Table 3 data: Burkert profile results for 153 SPARC galaxies with Gaussian priors on YD and YB.
# First column: galaxy name.
# Second column: best-fit core radius (rc).
# Third column: best-fit of the logarithm of the central halo density (logRhoc).
# Fourth column: best-fit of the stellar disk mass-to-light ratio (YD).
# Fifth column: best-fit of the stellar bulge mass-to-light ratio (YB).
# Sixth column: Minimum chi-squared value (Chi2).
# Seventh column: the number of galaxy data points that were used for the fit (DataPoints).
# 
# Galaxy     	rc                	logRhoc           	YD                 	YB                 	Chi2               	DataPoints
NGC4157    	19.980439054653647	6.810005068357755 	0.5334463972650006 	0.5622537402322766 	4.568599463064601  	17        
NGC4183    	3.400880192652589 	7.826666836128911 	0.47383410085703415	--                 	8.005496651903522  	23        
NGC4217    	5.378888742439733 	7.8776750758707434	0.5467218956853895 	0.2066921893936068 	44.00694740651067  	19        
NGC4559    	7.727356024450445 	7.1736835269643375	0.5421166692832214 	--                 	7.011869732315803  	32        
NGC5005    	6.809527773969676 	7.770123136493624 	0.5085794556510062 	0.5470929205797693 	1.1792741664437258 	18        
NGC5033    	6.520865282505377 	7.831437394305409 	0.4613883235621681 	0.48463012083972773	40.77273620435785  	22        
NGC5055    	10.586129512410603	7.262842372287595 	0.43274479762142926	--                 	51.93716490607258  	28        
NGC5371    	999.9999997745432 	5.642406311809446 	0.6633514590014127 	--                 	138.84632878825636 	19        
NGC5585    	5.2872229013348315	7.3528125486103875	0.6071558261293857 	--                 	95.4403442706041   	24        
NGC5907    	43.973132592567374	6.254077036313114 	0.9802402831453021 	--                 	93.27658945675145  	19        
NGC5985    	4.491220810122145 	8.507623929270157 	0.24651415682469727	0.7301830508395533 	90.67221713809525  	33        
NGC6015    	20.440247169982943	6.682017657234165 	1.070802898933973  	--                 	380.65475121716696 	44        
NGC6195    	23.60485456110265 	6.798283099103587 	0.3931230609766373 	0.7600158268196773 	32.61908256392023  	23        
NGC6503    	4.99768330253713  	7.561592682020671 	0.5648401471035389 	--                 	66.06729739937087  	31        
NGC6674    	75.49797903256778 	6.040221744380638 	1.4244002756664118 	0.660015332034746  	35.236410475302904 	15        
NGC6789    	1.3212306304508152	8.745269044061661 	0.5011978715198235 	--                 	0.4973340152707232 	4         
NGC6946    	7.337333109432812 	7.38015119099146  	0.5483918063790406 	0.5713471954264927 	79.73164939944868  	58        
NGC7331    	15.769923430969024	7.138868969669531 	0.42248762812861207	0.5003938649676221 	41.08187267062743  	36        
NGC7793    	3.0941792883826644	7.70059667804276  	0.7060016386080028 	--                 	35.01303719227156  	46        
NGC7814    	5.373016906957727 	7.985495433195461 	0.5148814511843618 	0.6209938418887309 	10.479882720984886 	18        
UGC00128   	8.097272525956248 	7.279233289118279 	0.3298339752599626 	--                 	160.8747597499795  	22        
UGC00191   	2.0097009857563033	8.02803488339849  	0.4569749167066547 	--                 	28.06206291799345  	9         
UGC00634   	6.889514183266016 	7.271866205328588 	0.4932156048574128 	--                 	0.710243258345689  	4         
UGC00731   	2.356954848222583 	7.792398536245579 	0.5025466530479299 	--                 	5.701408885546886  	12        
UGC00891   	5.26296801072916  	7.145769257897659 	0.4892344869719728 	--                 	0.6398481479448473 	5         
UGC01281   	3.0016928142970185	7.503418906476948 	0.492347657297468  	--                 	6.735584206433648  	25        
UGC02259   	1.593364141169671 	8.316338030347865 	0.4600004240946385 	--                 	13.699912626734857 	8         
UGC02487   	9.13217366935617  	8.000529594573646 	0.5398528179763046 	0.7591553671035475 	65.17561273861006  	17        
UGC02885   	26.822401508954915	6.8670173892212905	0.6114142172759242 	1.0641801204975454 	21.53110460617411  	19        
UGC02916   	7.451290024129501 	7.664117357289513 	0.46093107419902396	0.5325686025201686 	393.56253243245345 	43        
UGC02953   	15.376253051141326	7.24034142321984  	0.7753291369290485 	0.6840928384756135 	667.6304533847665  	115       
UGC03205   	21.930126136528738	6.779563708769852 	0.8923858776667041 	1.180434810283811  	176.6152673793349  	48        
UGC03546   	7.0222079517029785	7.629204917932771 	0.5052967143159627 	0.48651874365088926	17.57900791088977  	30        
UGC03580   	9.59395041171256  	7.08910108871705  	0.6459520418139869 	0.17850233065750315	144.30579036286616 	47        
UGC04278   	7.291695988981808 	7.3012573356881525	0.6421136170721709 	--                 	13.76513937748146  	25        
UGC04325   	1.360284497952978 	8.49139378435435  	0.4955343055138409 	--                 	2.4700401608027396 	8         
UGC04483   	0.5364556872871205	8.106002455520445 	0.49635943786335257	--                 	1.4905821271717103 	8         
UGC04499   	2.985549804478609 	7.586611641857406 	0.479982066239789  	--                 	1.6680578435692188 	9         
UGC05005   	10.641309344251756	6.810209303047108 	0.5000077609766523 	--                 	0.11765214025275952	11        
UGC05253   	8.007276610724    	7.739045961997403 	0.30506009661442646	0.7274469973706402 	71.67368566572998  	73        
UGC05414   	3.2043855442506337	7.470236148849565 	0.5038271776392295 	--                 	0.3482945353123107 	6         
UGC05716   	3.642390654308574 	7.441155970916928 	0.8897992349251579 	--                 	37.0905642644414   	12        
UGC05721   	1.030223815208706 	8.66959745254726  	0.5251535551011329 	--                 	8.198376955191028  	23        
UGC05750   	7.438706965609104 	6.914659501095473 	0.498166123815466  	--                 	1.0575378681469438 	11        
UGC05764   	0.9836495558981625	8.356089329441637 	0.49185728203603096	--                 	20.256807070239716 	10        
UGC05829   	3.2643311872664666	7.384173502084453 	0.5002019322397467 	--                 	1.9568128107626808 	11        
UGC05918   	1.4759216020139976	7.77004249319661  	0.4995384766984543 	--                 	0.25847308727353274	8         
UGC05986   	3.3027606084805092	7.959825686617199 	0.5011920483844776 	--                 	11.31967691480108  	15        
UGC06399   	3.4829878949043445	7.661345181845471 	0.4986576762064496 	--                 	0.32993681848898027	9         
UGC06446   	1.9621066223037442	8.077639177155726 	0.5129921871164035 	--                 	6.732310799293419  	17        
UGC06614   	22.05616267692737 	6.7936557171060565	0.4854089376645142 	0.6011629358291812 	0.8033270543907329 	13        
UGC06667   	3.0952125051211663	7.778563365021964 	0.49944902644107614	--                 	0.6595054434034643 	9         
UGC06786   	9.509543455043131 	7.559832529457939 	0.8085680675549052 	0.8931429557335127 	95.70450515535151  	45        
UGC06787   	37.05645309198449 	6.7281464672566385	2.138488878903955  	0.450350420919508  	1277.116157575675  	71        
UGC06818   	15.858583910573792	6.932465481273282 	0.44326270955134256	--                 	6.898611331960726  	8         
UGC06917   	3.6296782152447755	7.756861088290318 	0.4887907495680872 	--                 	1.74983882924785   	11        
UGC06923   	3.268020075776077 	7.655167327584107 	0.4781020632282867 	--                 	1.8846939284790543 	6         
UGC06930   	3.6761006544390322	7.718612504030301 	0.4909703098095617 	--                 	1.3988155213202345 	10        
UGC06983   	3.2046907334198687	7.891915158794532 	0.5083827265814038 	--                 	6.346073145522753  	17        
UGC07089   	6.492900258438066 	7.041088163431066 	0.5111073172374369 	--                 	1.5164287618064818 	12        
UGC07125   	4.72815444283949  	6.989203167041856 	0.49106710277692406	--                 	2.705640217086847  	13        
UGC07151   	1.583467670676636 	8.082761371007471 	0.5143517502511902 	--                 	8.13569516177482   	11        
UGC07232   	953.5777116794794 	8.078580145584366 	0.5006823987531431 	--                 	0.22389221892431596	4         
UGC07261   	1.4786624347175055	8.19973251879052  	0.4756788668596292 	--                 	1.8117019660073534 	7         
UGC07323   	5.116138340735375 	7.355419498729893 	0.5286014571826013 	--                 	2.265427287268646  	10        
UGC07399   	1.5428711656059562	8.488963597548889 	0.5357129673020433 	--                 	6.997678094262473  	10        
UGC07524   	3.6182819099194115	7.490185164998483 	0.5392171001230783 	--                 	6.639735005403608  	31        
UGC07559   	2.0083539597613207	7.325112401109303 	0.49497472977572304	--                 	0.5089281571691426 	7         
UGC07577   	998.7128786790446 	6.361757335058079 	0.4923652984204165 	--                 	0.8836103430323126 	9         
UGC07603   	1.5190541664867492	8.122122965590064 	0.4802088208755289 	--                 	2.000208465692275  	12        
UGC07690   	0.6979928621333746	8.612451975884897 	0.4985921444949889 	--                 	0.5556904036763172 	7         
UGC07866   	1.015685784008061 	7.755625789487306 	0.4994633254670709 	--                 	0.3418306912107128 	7         
UGC08286   	1.7601594644890257	8.208540793162767 	0.42778585928699553	--                 	18.03123336049014  	17        
UGC08490   	1.6102638648426737	8.247581564405984 	0.738384608611816  	--                 	16.855245700320335 	30        
UGC08550   	1.3148726075268873	8.109393760552738 	0.5144711018610095 	--                 	8.456019173009496  	11        
UGC08699   	10.455295083378779	7.226846222930499 	1.0141890776526283 	0.6615341876590155 	42.60637622267035  	41        
UGC08837   	999.2390885095904 	6.716271358143357 	0.48059158267304625	--                 	2.064534464633894  	8         
UGC09037   	9.70769169119797  	7.212640212394381 	0.2571914622555894 	--                 	27.53357787923862  	22        
UGC09133   	26.892851823367817	6.628946817749635 	0.9740851270481478 	0.5258072496165243 	502.4763016783936  	68        
UGC09992   	0.5254630533151339	8.30287745397508  	0.5000229548796158 	--                 	0.07306372266104688	5         
UGC10310   	2.136708799639731 	7.850871152519087 	0.5025948828858134 	--                 	0.4675034787549727 	7         
UGC11455   	7.989354170063589 	7.8983742013345095	0.2403868673979575 	--                 	65.04603942149444  	36        
UGC11557   	9.551841954677098 	6.706713542879959 	0.3991749841253666 	--                 	9.02352416792726   	12        
UGC11820   	8.07855741816899  	6.867553492118341 	1.4452634359079044 	--                 	40.75090889682239  	10        
UGC11914   	999.9995294018066 	7.389718401437657 	0.6066355361423965 	1.0192943920629252 	35.80095950789536  	65        
UGC12506   	5.394740666410702 	8.159340276253712 	0.42863321954184563	--                 	20.449218856823418 	31        
UGC12632   	2.8510745129853854	7.623363811008746 	0.5007225034868904 	--                 	0.8543753955663703 	15        
UGC12732   	4.034116513530529 	7.517600910364762 	0.5601567255063988 	--                 	19.17023440280696  	16        
UGCA442    	2.824070260643567 	7.509475398170997 	0.5002997115751316 	--                 	3.720016435119831  	8         
UGCA444    	1.2533380309294184	7.732751790539957 	0.5058519622356037 	--                 	7.397852712219993  	36        
